"locus_tag","gene_name","function","logFC","logCPM","PValue","q.value"
"BW25113_0030","rihC","ribonucleoside hydrolase 3",-0.547221780934946,7.33352373424686,1.88234766868121,0.17006755962974
"BW25113_0032","carA","carbamoyl phosphate synthetase small subunit, glutamine amidotransferase",-0.601201998088461,7.01345368157154,1.95007644392189,0.16257861340433
"BW25113_0033","carB","carbamoyl-phosphate synthase large subunit",0.135647931499164,8.45626276115255,0.130935395601625,0.717464153482253
"BW25113_0034","caiF","cai operon transcriptional activator",0.15230420561958,7.79336137151214,0.159966480599213,0.689187379140513
"BW25113_0035","caiE","stimulator of CaiD and CaiB enzyme activities",-0.401728595108433,6.73020604838875,0.987427373474331,0.320371960792474
"BW25113_0036","caiD","carnitinyl-CoA dehydratase",0.25671919115524,7.53879673910405,0.456591384703255,0.499221317542075
"BW25113_0037","caiC","putative crotonobetaine/carnitine-CoA ligase",0.0301978064547673,8.56741775137946,0.00602857152406955,0.938111339481328
"BW25113_0038","caiB","crotonobetainyl CoA:carnitine CoA transferase",-0.171337994240801,8.06641089413265,0.200645296110245,0.654200485020492
"BW25113_0039","caiA","crotonobetaine reductase subunit II, FAD-binding",-0.320036104180841,7.85020516430306,0.676424730924907,0.410820580491783
"BW25113_0040","caiT","putative transporter",-0.265567209827425,9.25944805329713,0.456549557288042,0.499240972592645
"BW25113_0041","fixA","anaerobic carnitine reduction putative electron transfer flavoprotein subunit",-0.0746485381109396,7.83607277414381,0.0357283879260137,0.85007749918639
"BW25113_0042","fixB","putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein",0.0771012605357492,7.43837759140528,0.0401766733815165,0.841135542772242
"BW25113_0043","fixC","putative oxidoreductase",-0.366491773302628,7.08343827713983,0.884632013089963,0.346936139142132
"BW25113_0044","fixX","putative 4Fe-4S ferredoxin-type protein",0.141240943096552,5.94324280598492,0.119136135449072,0.72997331531619
"BW25113_0045","yaaU","putative transporter",-0.0814702491979741,7.98069469606344,0.043818410542908,0.834191824125484
"BW25113_0046","kefF","potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent",-0.16282044296665,7.2753761633191,0.154352367518158,0.694410301264035
"BW25113_0047","kefC","potassium:proton antiporter",-0.181368052509577,8.31724789493898,0.162936366811721,0.686467338882164
"BW25113_0049","apaH","diadenosine tetraphosphatase",-0.0243421210583216,6.03745330249757,0.00266384420284993,0.958837505012534
"BW25113_0050","apaG","protein associated with Co2+ and Mg2+ efflux",0.076828996301662,6.53084169684844,0.0369249129585043,0.847618003676666
"BW25113_0051","rsmA","16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent",0.313682310785991,7.17210919429254,0.677629460841835,0.410404207799223
"BW25113_0052","pdxA","4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent",-0.526094489229827,2.60138926129888,0.823785961374185,0.364075560013807
"BW25113_0053","surA","peptidyl-prolyl cis-trans isomerase (PPIase)",0.127358054355412,5.07176279637296,0.0936060356445463,0.759641927741418
"BW25113_0055","djlA","membrane-anchored DnaK co-chaperone, DNA-binding protein",-0.0117508564983442,8.33250074501754,0.000881419945159223,0.976315310109469
"BW25113_4659","yabP","pseudogene",-0.269945055251193,11.6184548140161,0.453151767682243,0.500842017842042
"BW25113_0058","rluA","dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent",-0.121249274433166,7.59220449595169,0.0996431815047742,0.752258251036217
"BW25113_0059","rapA","RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase",-0.323598747207062,9.35315925014919,0.599083444872917,0.438927947211398
"BW25113_0060","polB","DNA polymerase II",-0.0593435162240308,9.17632576896314,0.0236993545086079,0.877652355652583
"BW25113_0061","araD","pseudogene",-0.440689530234508,7.2501280361879,1.17505945710538,0.27836409181883
"BW25113_0064","araC","ara regulon transcriptional activator; autorepressor",-0.0198798972449605,7.52188546911123,0.00271926463413763,0.958411906907627
"BW25113_0065","yabI","DedA family inner membrane protein",0.0982619648837682,7.14977221259756,0.0565061216621672,0.812105900542666
"BW25113_0066","thiQ","thiamine, thiamine pyrophosphate ABC transporter ATPase; ThiBPQ thiamine, thiamine pyrophosphate importer",-0.149568630656975,6.98483388348814,0.148998051917438,0.699494700343914
"BW25113_0067","thiP","thiamine, thiamine pyrophosphate ABC transporter permease; ThiBPQ thiamine, thiamine pyrophosphate importer",-0.145123491311376,8.55861566581507,0.155554847165142,0.693282480425959
"BW25113_0068","thiB","thiamine-, thiamine pyrophosphate-, thiamine monophosphate-binding ABC transporter periplasmic protein; ThiBPQ thiamine, thiamine pyrophosphate importer",-0.105654635990695,7.59181618386031,0.0807770181122862,0.776247168705394
"BW25113_0069","sgrR","transcriptional DNA-binding transcriptional activator of sgrS sRNA",-0.095637391380986,8.67663453854282,0.0526629764148083,0.818492636195612
"BW25113_4577","sgrS","",-0.435321900914264,5.42438460649372,0.890671572286461,0.345295383077031
"BW25113_4662","sgrT","inhibitor of glucose uptake",0.0432350415574553,4.76396583991798,0.00798625891727411,0.928791145834728
"BW25113_0070","setA","broad specificity sugar efflux system",0.138725015469017,8.71814143788908,0.13503665967356,0.713265970409487
"BW25113_0071","leuD","3-isopropylmalate dehydratase small subunit",0.136960437745658,7.6157393898236,0.121846192172853,0.727040707591076
"BW25113_0072","leuC","3-isopropylmalate dehydratase large subunit",-0.0915179216577297,8.34491638635722,0.0572772655665545,0.810852269374802
"BW25113_0073","leuB","3-isopropylmalate dehydrogenase, NAD(+)-dependent",-0.048660924066186,7.87008417606163,0.0169540954557128,0.896401949864087
"BW25113_0074","leuA","2-isopropylmalate synthase",-0.11191545452984,8.45478160196122,0.075496058880077,0.783496434781247
"BW25113_0075","leuL","leu operon leader peptide",-0.316413000920421,8.77273021083577,0.649879576688534,0.420155737311156
"BW25113_0076","leuO","global transcription factor",-0.0961786795936962,9.42359527064805,0.0618326315077269,0.803622492199378
"BW25113_0077","ilvI","acetolactate synthase 3 large subunit",-0.300222162233377,9.53010878769783,0.57455120807235,0.448456034178552
"BW25113_0078","ilvH","acetolactate synthase 3, small subunit, valine-sensitive",-0.190490107935374,7.66709216771604,0.254785798428889,0.61372522803312
"BW25113_0080","cra","transcriptional repressor-activator for carbon metabolism",0.933812072192456,7.17509724230883,5.72884264985228,0.0166884775287109
"BW25113_0081","mraZ","RsmH methytransferase inhibitor",-0.112627709851064,6.33551839077044,0.0753158692862357,0.783748528954757
"BW25113_0082","rsmH","16S rRNA m(4)C1402 methyltransferase, SAM-dependent",0.279771891039785,6.14491824896664,0.496040343819946,0.481245146907888
"BW25113_0088","murD","UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase",1.21215863093544,2.82727097152784,3.55362619400729,0.0594154721981901
"BW25113_0092","ddlB","D-alanine:D-alanine ligase",0.0203142350180197,6.49944326797201,0.00184665853264931,0.965723244164904
"BW25113_0093","ftsQ","divisome assembly protein, membrane anchored protein involved in growth of wall at septum",0.0815289783190054,3.58654026862097,0.0300941236184327,0.862276835659139
"BW25113_0097","secM","regulator of secA translation",0.328201455378205,4.43502632192937,0.459970423993441,0.497637795883971
"BW25113_0099","mutT","nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP",-0.520660131827572,6.11534863524538,1.57960479294925,0.208817629060473
"BW25113_0101","yacG","DNA gyrase inhibitor",0.63694574066892,4.31241865236819,1.78650566417978,0.181352493274674
"BW25113_0102","zapD","FtsZ stabilizer",-0.493951559633334,6.27733452155461,1.53368346872214,0.215560462484475
"BW25113_0103","coaE","dephospho-CoA kinase",-1.49739191749471,2.17422728299445,3.47380548786625,0.0623477211929845
"BW25113_0104","guaC","GMP reductase",-0.309972631513049,7.49418256229327,0.605103738728733,0.436637317673618
"BW25113_0106","hofC","assembly protein in type IV pilin biogenesis, transmembrane protein",-0.125406544931272,7.73099598524302,0.0915234927544759,0.762249211510372
"BW25113_0107","hofB","T2SE secretion family protein; P-loop ATPase superfamily protein",-0.546907944326558,7.87582403970351,2.04156066007322,0.153052548287788
"BW25113_0108","ppdD","putative prepilin peptidase-dependent pilin",-0.168578677339193,6.25045057889129,0.15978003408231,0.689359114772401
"BW25113_0109","nadC","quinolinate phosphoribosyltransferase",-0.0158715665373941,6.91353839773449,0.001356243172701,0.970622780738896
"BW25113_0110","ampD","1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase",-0.634755160154334,6.50677617428473,2.53994650724458,0.110998546882312
"BW25113_0111","ampE","ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation",-0.368233822343884,7.556615115161,0.924853806144046,0.336203740405807
"BW25113_0112","aroP","aromatic amino acid transporter",-0.0965844100444722,8.57028577662465,0.0641501378419775,0.800052796623001
"BW25113_0113","pdhR","pyruvate dehydrogenase complex repressor; autorepressor",0.0494584750733218,7.17660145875582,0.0165779034264872,0.89755134975389
"BW25113_0114","aceE","pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding",1.35855930869525,5.81659157966572,12.0518333883619,0.000517414662700272
"BW25113_0115","aceF","pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2",2.40554758284117,5.20305473590771,32.6622347008933,1.09647049987098e-08
"BW25113_0117","yacH","uncharacterized protein",-0.327623200449701,8.55709462321941,0.756248464348435,0.384505112053091
"BW25113_0118","acnB","bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase",0.283429020219079,4.47930822983088,0.454145209360714,0.500373005491084
"BW25113_0119","yacL","UPF0231 family protein",-0.476006837662747,6.5372334268765,1.10814962566502,0.292484532790211
"BW25113_0120","speD","S-adenosylmethionine decarboxylase",-0.238663665551239,7.43466151596825,0.384046642220145,0.535445459094077
"BW25113_0121","speE","spermidine synthase (putrescine aminopropyltransferase)",0.221918820200116,6.76617249738585,0.345262355712879,0.556807326218331
"BW25113_0122","yacC","PulS_OutS family protein",-0.0410523044081604,6.38007768191519,0.0102628841885206,0.919307637417124
"BW25113_0123","cueO","multicopper oxidase (laccase)",-0.267872085057707,8.01674184084746,0.449965003612107,0.502351574054211
"BW25113_0124","gcd","glucose dehydrogenase",-0.196941167736476,9.22410842110716,0.293658730697018,0.587885413078789
"BW25113_0125","hpt","hypoxanthine phosphoribosyltransferase",0.3780922962802,5.1721077242836,0.856536074260845,0.354709865551557
"BW25113_0127","yadG","putative ABC superfamily transporter ATP-binding subunit",-0.0207374507357318,7.30883801342173,0.00304037109938804,0.956027279584101
"BW25113_0128","yadH","inner membrane putative ABC superfamily transporter permease",0.10315918719807,7.45601968871375,0.0704359055132278,0.790703156624486
"BW25113_0129","yadI","putative PTS Enzyme IIA",-0.526208013404686,6.43582996038303,1.8133563081478,0.178106133089027
"BW25113_0130","yadE","putative polysaccharide deacetylase lipoprotein",-0.118613975770587,7.85710735439869,0.0900202092738454,0.76415146529131
"BW25113_0131","panD","aspartate 1-decarboxylase",-0.316632526441085,5.47745503339676,0.426661159651671,0.513631830673656
"BW25113_0132","yadD","transposase_31 family protein",-0.197448619974196,7.8387682960539,0.280934929880378,0.596089084412614
"BW25113_0133","panC","pantothenate synthetase",-0.0115536107842425,7.06218130543548,0.000909296910556634,0.975943795548859
"BW25113_0134","panB","3-methyl-2-oxobutanoate hydroxymethyltransferase",-0.220658691700284,7.57026699058882,0.326987440641998,0.56743839992021
"BW25113_0135","yadC","putative fimbrial-like adhesin protein",-0.586956753310785,9.02680081362903,2.28389898836521,0.130722878058494
"BW25113_0136","yadK","putative fimbrial-like adhesin protein",-0.269910223167216,4.8404773214395,0.330777294149547,0.565201747199164
"BW25113_0137","yadL","putative fimbrial-like adhesin protein",-0.299898118891734,7.28713229654758,0.618502905065762,0.431604160378635
"BW25113_0138","yadM","putative fimbrial-like adhesin protein",-0.967059873998409,6.15169919036957,3.85475978862485,0.0496050294884467
"BW25113_0139","htrE","putative outer membrane usher protein",-0.325394372681809,10.6778325340896,0.737623004719353,0.390423379991605
"BW25113_0140","yadV","putative periplasmic pilin chaperone",-0.490224762356373,9.20423317240185,1.47636609338286,0.224343947357394
"BW25113_0141","yadN","putative fimbrial-like adhesin protein",-0.252297716009732,5.99155581768383,0.401795672290991,0.526163351093488
"BW25113_0142","folK","2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase",-1.77369106715976,3.7342841990118,8.5853002814342,0.00338887501153667
"BW25113_0143","pcnB","poly(A) polymerase",-0.275353822285238,7.22943497207016,0.494043055319505,0.482129311967507
"BW25113_0144","gluQ","glutamyl-Q tRNA(Asp) synthetase",-0.218460589821749,7.08947364480117,0.331197865242549,0.564954591502915
"BW25113_0145","dksA","transcriptional regulator of rRNA transcription, DnaK suppressor protein",-0.890143864606862,5.68427186791477,4.44387238680965,0.0350267142703679
"BW25113_0146","sfsA","sugar fermentation stimulation protein A",-0.182454818444251,8.15225974355075,0.222825722546503,0.636895243113606
"BW25113_0147","ligT","2'-5' RNA ligase",-0.372675356486828,6.73443136493506,0.900428685505166,0.342666790822784
"BW25113_0148","hrpB","putative ATP-dependent helicase",-0.105450948258874,9.17698603947106,0.0846124974930635,0.771141358492148
"BW25113_0149","mrcB","fused glycosyl transferase and transpeptidase",-0.329117477531538,8.70963796649611,0.777798562849624,0.377815264210775
"BW25113_0150","fhuA","ferrichrome outer membrane transporter",-0.0153682719006723,9.1615819185843,0.00148884468503496,0.969220822975549
"BW25113_0151","fhuC","iron-hydroxamate transporter subunit",-0.135216019814914,7.51928812221059,0.12687701219323,0.721692292786684
"BW25113_0152","fhuD","iron-hydroxamate transporter subunit",-0.288148656026836,7.25953812791549,0.403556586754114,0.525258179916854
"BW25113_0153","fhuB","fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components",-0.16242315305586,8.28758229010899,0.177267640177085,0.673731979388749
"BW25113_0155","clcA","H(+)/Cl(-) exchange transporter",-0.360131633132325,8.55168015753042,0.849836629101475,0.356598558705122
"BW25113_0157","yadS","UPF0126 family inner membrane protein",0.169465861268948,6.64990284418474,0.201919241836558,0.653176128899408
"BW25113_0158","btuF","vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily",0.0412315211481488,6.52418586529907,0.00830532631049152,0.927386464155579
"BW25113_0159","mtn","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase",6.7559256492209,1.25415095760773,16.4724379338565,4.93624812761905e-05
"BW25113_0160","dgt","deoxyguanosine triphosphate triphosphohydrolase",-0.183010595303098,10.5112802656055,0.216309736568519,0.641866215147797
"BW25113_0161","degP","serine endoprotease (protease Do), membrane-associated",-0.438426671266125,7.9672563081737,1.16263761422669,0.280919193393502
"BW25113_0162","cdaR","carbohydrate diacid regulon transcriptional regulator; autoregulator",-0.192707118252309,7.6031697265894,0.264187137210632,0.60725801837953
"BW25113_0163","yaeH","UPF0325 family protein",-0.331760831462207,6.36357076585838,0.654261826046505,0.418593073981133
"BW25113_0164","yaeI","phosphodiesterase with model substrate bis-pNPP",-0.38403206969448,7.55114902867531,1.05841167539718,0.303577724664243
"BW25113_0167","glnD","uridylyltransferase",-0.328573395824672,5.2945880536228,0.541250791620143,0.461914819666012
"BW25113_0169","rpsB","30S ribosomal subunit protein S2",2.5922934802087,1.73832265670145,5.48268055263708,0.0192057853978986
"BW25113_0174","ispU","undecaprenyl pyrophosphate synthase",-0.780334356764388,2.73028814625036,1.49351513269495,0.221671867123785
"BW25113_0178","skp","periplasmic chaperone",-0.14130460407995,4.78719240825268,0.0882830494086706,0.766371356304995
"BW25113_0183","rnhB","ribonuclease HII, degrades RNA of DNA-RNA hybrids",-0.154663100078784,5.13689276170806,0.145185099178565,0.703179782196174
"BW25113_0184","dnaE","DNA polymerase III alpha subunit",-6.33569461764889,1.28046195429528,21.3715288436215,3.78348141434127e-06
"BW25113_0186","ldcC","lysine decarboxylase 2, constitutive",-0.295345217223638,7.92906019625069,0.584418565739941,0.444585577320606
"BW25113_0187","yaeR","putative lyase",0.174633529764762,5.5947746591849,0.194400763730187,0.659278863511198
"BW25113_0188","tilS","tRNA(Ile)-lysidine synthetase",0.818975865891104,3.55119060420548,2.6801808204826,0.101604190889938
"BW25113_0189","rof","modulator of Rho-dependent transcription termination",-1.39168931249049,4.93085565537621,8.59734026017014,0.00336654313730543
"BW25113_4406","yaeP","UPF0253 family protein",-0.239284783420755,4.29744515366813,0.172222801992742,0.67814384175189
"BW25113_0190","yaeQ","PDDEXK superfamily protein",-0.130562922622472,5.88664650336854,0.100884420527526,0.750770865265619
"BW25113_0191","arfB","alternative stalled-ribosome rescue factor B; peptidyl-tRNA hydrolase, ribosome-attached",-0.369133444133965,6.19512527344069,0.808778642273701,0.368481592000632
"BW25113_0192","nlpE","lipoprotein involved with copper homeostasis and adhesion",0.0379953301342831,7.42236556764531,0.0106364755613138,0.917857184075986
"BW25113_0193","yaeF","putative lipoprotein",-0.197113222930548,7.32526440137321,0.268001065123206,0.604675837439818
"BW25113_0195","tsaA","tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase, SAM-dependent",-0.268467836956261,6.97743231727305,0.513658621820811,0.473559341363397
"BW25113_0196","rcsF","putative outer membrane protein",-0.0676925784531603,7.10764497267573,0.0314125787160933,0.859323065838263
"BW25113_0197","metQ","DL-methionine transporter subunit",-0.107617805267595,7.2460907090228,0.0784308360976915,0.779435263220474
"BW25113_0198","metI","DL-methionine transporter subunit",-0.0154007027920136,7.42454294330388,0.00155107918388353,0.968584441351845
"BW25113_0199","metN","DL-methionine transporter subunit",-0.127595462928167,7.77321243925967,0.114927254838264,0.734602780478768
"BW25113_0200","gmhB","D,D-heptose 1,7-bisphosphate phosphatase",2.8826154703748,5.7190603484794,42.0938748575951,8.69952528040245e-11
"BW25113_0203","alaV","",-1.85969621457217,1.82909271366861,5.38478905812005,0.0203130438292449
"BW25113_0204","rrlH","",-0.69772666925055,4.05894251670036,1.93031615296012,0.164723860324174
"BW25113_0207","dkgB","2,5-diketo-D-gluconate reductase B",-0.392767426213528,5.70100389155224,0.883028209173433,0.347373616672076
"BW25113_0208","yafC","LysR family putative transcriptional regulator",0.0380109218350944,5.71694733803253,0.00778910083711359,0.929673302550887
"BW25113_0209","yafD","endo/exonuclease/phosphatase family protein",-0.341008854855773,6.31087671490389,0.637214590253034,0.424721237818148
"BW25113_0210","yafE","putative S-adenosyl-L-methionine-dependent methyltransferase",-0.379961488216833,6.42748305378133,0.879404147188847,0.348364930613749
"BW25113_0211","mltD","putative membrane-bound lytic murein transglycosylase D",-0.280621722165225,7.88756647986466,0.58203839746492,0.445514441574206
"BW25113_0212","gloB","hydroxyacylglutathione hydrolase",-0.776450151359674,5.65278004757833,3.41865136749071,0.0644636557318537
"BW25113_0213","yafS","putative S-adenosyl-L-methionine-dependent methyltransferase",-0.350399525391266,5.93564762170881,0.723705430218807,0.394931144098641
"BW25113_0214","rnhA","ribonuclease HI, degrades RNA of DNA-RNA hybrids",1.66575578216825,5.31278593611577,14.8291458845695,0.000117702328559787
"BW25113_0215","dnaQ","DNA polymerase III epsilon subunit",1.96618255517364,1.79007958739126,3.56364603690978,0.0590578849770541
"BW25113_0216","aspV","",-0.896690867238837,5.01237424898534,3.41667505995398,0.0645408817879066
"BW25113_0217","yafT","lipoprotein",-0.477692857740263,6.62973924941534,1.05519415157483,0.304313852533856
"BW25113_0218","yafU","pseudogene",-0.14553309043487,6.21228007773346,0.141520111156755,0.706774468424395
"BW25113_4503","yafF","pseudogene",-0.594274395776003,5.74148569434119,1.62300676121975,0.202673046824314
"BW25113_0219","yafV","putative NAD(P)-binding C-N hydrolase family amidase",0.0162675637245343,7.08085806608688,0.00175882731100785,0.96654782434253
"BW25113_0220","ivy","inhibitor of c-type lysozyme, periplasmic",-0.139808143514087,7.28960843516947,0.136706779204337,0.711577120072376
"BW25113_0221","fadE","acyl coenzyme A dehydrogenase",0.0953210830254083,8.31079113662932,0.0620254486374066,0.803322810017343
"BW25113_0223","yafJ","putative amidotransfease",0.283662610429366,7.52923055300968,0.553582256728873,0.4568576689878
"BW25113_0224","yafK","L,D-transpeptidase-related protein",-0.404541713566163,7.78645481056262,1.03082986965647,0.30996383484145
"BW25113_0225","yafQ","translation inhibitor toxin of toxin-antitoxin pair YafQ/DinJ",-0.312037091645668,6.4721678200106,0.462742403013912,0.496345088805726
"BW25113_0226","dinJ","antitoxin of YafQ-DinJ toxin-antitoxin system",-0.69688529060609,6.80418183367305,2.68923902601433,0.101028052251322
"BW25113_0227","yafL","putative lipoprotein and C40 family peptidase",-0.371123538593952,7.12368156034083,0.858972395903113,0.354026419109694
"BW25113_0228","rayT","RAYT REP element-mobilizing transposase; TnpA(REP)",-0.380837779390109,7.22939521205089,0.89503996073244,0.344115170876256
"BW25113_0229","lfhA","pseudogene",0.0303630125347778,8.09375590833963,0.00691153138545886,0.933743702855812
"BW25113_0230","lafU","pseudogene",-0.0211010423778984,6.56454253039267,0.0029956451969344,0.956351586797589
"BW25113_0231","dinB","DNA polymerase IV",-0.276472606196075,6.79029479100233,0.398131574449447,0.528055770473498
"BW25113_0232","yafN","antitoxin of the YafO-YafN toxin-antitoxin system",1.55008884603663,1.5554648553436,2.6179636338592,0.105659958193912
"BW25113_0233","yafO","mRNA interferase toxin of the YafO-YafN toxin-antitoxin system",0.195987626257835,6.57640075255438,0.22764540512178,0.633275247940493
"BW25113_0234","yafP","putative acyl-CoA transferase",0.0340231486353004,3.15487897780936,0.00393418600402917,0.949987010527887
"BW25113_0235","ykfJ","pseudogene",-0.270891820637247,7.24627400434503,0.416161050012093,0.518858848068674
"BW25113_0236","prfH","pseudogene",-0.148592734616168,7.10524382649594,0.138739429813633,0.709537419335835
"BW25113_0237","pepD","aminoacyl-histidine dipeptidase (peptidase D)",-0.0324376781207524,8.40652675782473,0.00686070356227475,0.933987220146942
"BW25113_0238","gpt","xanthine phosphoribosyltransferase; xanthine-guanine phosphoribosyltransferase",-0.123103488682738,7.03360723115495,0.0788364213383517,0.778880492726305
"BW25113_0239","frsA","fermentation-respiration switch protein; PTS Enzyme IIA(Glc)-binding protein; pNP-butyrate esterase activity",-0.301147156319863,8.07877499671596,0.525373190722249,0.468558588197712
"BW25113_0240","crl","RNA polymerase holoenzyme assembly factor crl",-0.616371925443408,8.66939338131759,2.10685067710027,0.146640833003001
"BW25113_0241","phoE","outer membrane phosphoporin protein E",0.0217480589194313,9.43022787858481,0.00336907224783545,0.953713811805612
"BW25113_0242","proB","gamma-glutamate kinase",-0.337632070150462,8.19507472847347,0.791041440401745,0.373785402481217
"BW25113_0243","proA","gamma-glutamylphosphate reductase",-0.185144053944345,8.34350267244407,0.234497936776332,0.628208548112181
"BW25113_0244","thrW","",-2.66505620088508,1.94900892350158,10.4378877650871,0.00123456373150449
"BW25113_4626","ykfN","pseudogene",-0.449711252604906,3.73159582745493,0.875895919755995,0.349328223238722
"BW25113_0245","ykfI","CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system",-0.178735264966225,6.14427213117254,0.171745940131586,0.67856477414621
"BW25113_0246","yafW","CP4-6 prophage; antitoxin of the YkfI-YafW toxin-antitoxin system",-0.25156791975126,6.80664082058504,0.354741061415943,0.551441522261618
"BW25113_4504","ykfH","uncharacterized protein",-0.247955508818039,5.75493532588521,0.367134329743438,0.544570462575934
"BW25113_0247","ykfG","CP4-6 prophage; RadC-like JAB domain protein",-0.533839010262317,7.02804487001524,1.28694360153035,0.256611970870691
"BW25113_0248","yafX","CP4-6 prophage; uncharacterized protein",-0.465845861586877,6.87921146065314,1.18486590479702,0.27636761572057
"BW25113_0249","ykfF","CP4-6 prophage; uncharacterized protein",-0.184158549128559,6.02273178688807,0.219774402418752,0.639211866180614
"BW25113_0250","ykfB","CP4-6 prophage; uncharacterized protein",-0.118390559788555,7.43707103863507,0.0920989576700535,0.761525534063067
"BW25113_0251","yafY","lipoprotein, inner membrane; overproduction stimulates degP expression; CP4-6 prophage",-0.0563442507763246,6.42830334150919,0.0140453587964657,0.905661102827233
"BW25113_4627","ykfL","pseudogene",0.0602803686968256,6.10317292435892,0.0163621573675741,0.898216518246411
"BW25113_4628","ykfK","pseudogene",-0.189126879274945,5.32423091340325,0.162273201421156,0.687072200924143
"BW25113_0252","yafZ","CP4-6 prophage; conserved protein",-0.0536044148533195,7.6221941508923,0.0174144672671446,0.8950128564991
"BW25113_0253","ykfA","CP4-6 prophage; putative GTP-binding protein",-0.168749754123515,8.52524367620162,0.186928845251018,0.665485100228441
"BW25113_0254","perR","CP4-6 prophage; putative DNA-binding transcriptional regulator",-0.603546459263944,7.53468303970759,2.36668571068429,0.12394995668858
"BW25113_4587","insN","pseudogene",-0.278969870353067,7.53227225805702,0.529091719578882,0.466988969889956
"BW25113_4690","eyeA","",-0.249428868239106,3.80001572449006,0.279236572530551,0.597202031174458
